seed,lr,dropout,hidden,epoch,train_loss,val_loss,val_acc
42,0.0001,0.2,256,1,1.637056,1.581003,35.2500
42,0.0001,0.2,256,2,1.552656,1.532383,37.0000
42,0.0001,0.2,256,3,1.333268,1.225331,47.7500
42,0.0001,0.2,256,4,1.047242,1.116168,53.3000
42,0.0001,0.2,256,5,0.895125,0.952647,64.8000
42,0.0001,0.2,256,6,0.657016,0.755374,73.1000
42,0.0001,0.2,256,7,0.497077,0.703068,76.6500
42,0.0001,0.2,256,8,0.405250,0.715638,77.5000
42,0.0001,0.2,256,9,0.346910,0.713799,78.0000
42,0.0001,0.2,256,10,0.302605,0.700530,79.0500
42,0.0001,0.2,256,11,0.267321,0.696292,79.0500
42,0.0001,0.2,256,12,0.240725,0.698574,79.3500
42,0.0001,0.2,256,13,0.224525,0.751077,78.7500
42,0.0001,0.2,256,14,0.209364,0.721117,80.2000
42,0.0001,0.2,256,15,0.187806,0.769438,79.5000
42,0.0001,0.2,256,1,1.610130,1.574411,35.7500
42,0.0001,0.2,256,2,1.504957,1.358923,42.8000
42,0.0001,0.2,256,3,1.165655,1.155347,50.0500
42,0.0001,0.2,256,4,0.990562,1.061736,58.5000
42,0.0001,0.2,256,5,0.719289,0.774774,73.7500
42,0.0001,0.2,256,6,0.505778,0.675165,76.2000
42,0.0001,0.2,256,7,0.405454,0.646721,79.3500
42,0.0001,0.2,256,8,0.330065,0.727778,79.3500
42,0.0001,0.2,256,9,0.277576,0.643904,80.4000
42,0.0001,0.2,256,10,0.233810,0.666400,80.8500
42,0.0001,0.2,256,11,0.201279,0.787157,79.5000
42,0.0001,0.2,256,12,0.177363,0.691222,81.6500
42,0.0001,0.2,256,13,0.165961,0.750699,80.9000
42,0.0001,0.2,256,14,0.162029,0.775728,80.7000
42,0.0001,0.2,256,15,0.139531,0.776622,80.6000
42,0.0001,0.2,256,1,1.595826,1.574994,35.8500
42,0.0001,0.2,256,2,1.457997,1.262348,46.9500
42,0.0001,0.2,256,3,1.118058,1.131479,52.2500
42,0.0001,0.2,256,4,0.942960,0.915244,66.9500
42,0.0001,0.2,256,5,0.642942,0.728674,76.4000
42,0.0001,0.2,256,6,0.463095,0.709294,79.7500
42,0.0001,0.2,256,7,0.352307,0.646858,81.4500
42,0.0001,0.2,256,8,0.284410,0.690094,80.4000
42,0.0001,0.2,256,9,0.255805,0.668512,81.4000
42,0.0001,0.2,256,10,0.218669,0.693772,81.2500
42,0.0001,0.2,256,11,0.196111,0.710690,82.4000
42,0.0001,0.2,256,12,0.181264,0.806486,80.1000
42,0.0001,0.2,256,13,0.156967,0.692073,82.9000
42,0.0001,0.2,256,14,0.138601,0.746216,81.9500
42,0.0001,0.2,256,15,0.126079,0.813852,81.2500
42,0.0001,0.2,256,1,1.641035,1.581603,35.2000
42,0.0001,0.2,256,2,1.558380,1.537872,36.1500
42,0.0001,0.2,256,3,1.369009,1.226800,48.0000
42,0.0001,0.2,256,4,1.073065,1.118689,52.7000
42,0.0001,0.2,256,5,0.927504,0.991395,63.2500
42,0.0001,0.2,256,6,0.704168,0.775830,72.2000
42,0.0001,0.2,256,7,0.533396,0.718321,76.0000
42,0.0001,0.2,256,8,0.440805,0.729847,76.8500
42,0.0001,0.2,256,9,0.384385,0.685159,78.6000
42,0.0001,0.2,256,10,0.339259,0.700520,78.6000
42,0.0001,0.2,256,11,0.301934,0.680060,80.0000
42,0.0001,0.2,256,12,0.277381,0.720074,79.5000
42,0.0001,0.2,256,13,0.258980,0.715381,79.0000
42,0.0001,0.2,256,14,0.238159,0.752059,78.2000
42,0.0001,0.2,256,15,0.220727,0.718801,79.4000
42,0.0001,0.2,256,1,1.613223,1.576474,35.5000
42,0.0001,0.2,256,2,1.523681,1.397801,41.4500
42,0.0001,0.2,256,3,1.203006,1.161874,50.2000
42,0.0001,0.2,256,4,1.007712,1.073946,58.2000
42,0.0001,0.2,256,5,0.789895,0.824703,70.2000
42,0.0001,0.2,256,6,0.573051,0.715899,75.2000
42,0.0001,0.2,256,7,0.449697,0.644604,78.6500
42,0.0001,0.2,256,8,0.372593,0.721930,78.2500
42,0.0001,0.2,256,9,0.315375,0.637393,80.8500
42,0.0001,0.2,256,10,0.269628,0.692191,80.3000
42,0.0001,0.2,256,11,0.235439,0.794076,78.0500
42,0.0001,0.2,256,12,0.216800,0.713200,80.7000
42,0.0001,0.2,256,13,0.193397,0.755177,80.0000
42,0.0001,0.2,256,14,0.187562,0.752704,80.2000
42,0.0001,0.2,256,15,0.161264,0.748415,80.9000
42,0.0001,0.2,256,1,1.598938,1.576902,35.7000
42,0.0001,0.2,256,2,1.484517,1.306845,47.0000
42,0.0001,0.2,256,3,1.144151,1.134238,51.3000
42,0.0001,0.2,256,4,0.968836,0.937253,67.3000
42,0.0001,0.2,256,5,0.678421,0.739658,75.9000
42,0.0001,0.2,256,6,0.492107,0.674746,80.4000
42,0.0001,0.2,256,7,0.381350,0.659106,80.9500
42,0.0001,0.2,256,8,0.311963,0.742118,79.3500
42,0.0001,0.2,256,9,0.271235,0.694479,79.6000
42,0.0001,0.2,256,10,0.248247,0.697496,80.8500
42,0.0001,0.2,256,11,0.220304,0.784837,80.9000
42,0.0001,0.2,256,12,0.202770,0.707384,81.4500
42,0.0001,0.2,256,13,0.186996,0.717705,81.7000
42,0.0001,0.2,256,14,0.168343,0.854577,80.4000
42,0.0001,0.2,256,15,0.147816,0.817042,81.3000
42,0.001,0.2,256,1,1.380821,0.957241,64.8500
42,0.001,0.2,256,2,0.715749,0.802650,72.0000
42,0.001,0.2,256,3,0.458684,0.682951,78.4000
42,0.001,0.2,256,4,0.375463,0.760742,75.7500
42,0.001,0.2,256,5,0.308593,0.733317,78.2500
42,0.001,0.2,256,6,0.256920,0.824250,77.3000
42,0.001,0.2,256,7,0.233173,0.797334,78.8500
42,0.001,0.2,256,8,0.196427,0.770630,79.3000
42,0.001,0.2,256,9,0.211389,0.937102,76.8500
42,0.001,0.2,256,10,0.164205,0.853207,79.1000
42,0.001,0.2,256,11,0.130603,0.943643,77.4000
42,0.001,0.2,256,12,0.129744,0.898171,77.9500
42,0.001,0.2,256,13,0.137688,0.885236,79.1000
42,0.001,0.2,256,14,0.123273,0.906156,79.4500
42,0.001,0.2,256,15,0.120203,1.066885,74.8500
42,0.001,0.2,256,1,1.384720,1.049583,60.1500
42,0.001,0.2,256,2,0.756821,0.987191,67.0000
42,0.001,0.2,256,3,0.542493,0.843273,72.3000
42,0.001,0.2,256,4,0.414346,0.795489,76.1000
42,0.001,0.2,256,5,0.304635,0.811840,76.0000
42,0.001,0.2,256,6,0.244553,0.807942,78.5000
42,0.001,0.2,256,7,0.218037,0.920086,75.4500
42,0.001,0.2,256,8,0.165922,1.032664,72.3500
42,0.001,0.2,256,9,0.172609,0.976962,77.4500
42,0.001,0.2,256,10,0.120727,0.913561,77.8500
42,0.001,0.2,256,11,0.159369,1.187158,73.8000
42,0.001,0.2,256,12,0.169456,1.026855,77.6500
42,0.001,0.2,256,13,0.112496,1.099684,75.5500
42,0.001,0.2,256,14,0.109645,1.112150,75.0000
42,0.001,0.2,256,15,0.097437,1.136674,75.0000
42,0.001,0.2,256,1,1.410592,1.015302,63.2500
42,0.001,0.2,256,2,0.856120,0.969010,67.5500
42,0.001,0.2,256,3,0.560803,0.828479,72.5500
