seed,lr,dropout,hidden,epoch,train_loss,val_loss,val_acc
42,0.0001,0.2,256,1,1.598938,1.576902,35.7000
42,0.0001,0.2,256,2,1.484517,1.306845,47.0000
42,0.0001,0.2,256,3,1.144151,1.134238,51.3000
42,0.0001,0.2,256,4,0.968836,0.937253,67.3000
42,0.0001,0.2,256,5,0.678421,0.739658,75.9000
42,0.0001,0.2,256,6,0.492107,0.674746,80.4000
42,0.0001,0.2,256,7,0.381350,0.659106,80.9500
42,0.0001,0.2,256,8,0.311963,0.742118,79.3500
42,0.0001,0.2,256,9,0.271235,0.694479,79.6000
42,0.0001,0.2,256,10,0.248247,0.697496,80.8500
42,0.0001,0.2,256,11,0.220304,0.784837,80.9000
42,0.0001,0.2,256,12,0.202770,0.707384,81.4500
42,0.0001,0.2,256,1,1.598938,1.576902,35.7000
42,0.0001,0.2,256,2,1.484517,1.306845,47.0000
42,0.0001,0.2,256,3,1.144151,1.134238,51.3000
42,0.0001,0.2,256,4,0.968836,0.937253,67.3000
42,0.0001,0.2,256,5,0.678421,0.739658,75.9000
42,0.0001,0.2,256,6,0.492107,0.674746,80.4000
42,0.0001,0.2,256,7,0.381350,0.659106,80.9500
42,0.0001,0.2,256,8,0.311963,0.742118,79.3500
42,0.0001,0.2,256,9,0.271235,0.694479,79.6000
42,0.0001,0.2,256,10,0.248247,0.697496,80.8500
42,0.0001,0.2,256,11,0.220304,0.784837,80.9000
42,0.0001,0.2,256,12,0.202770,0.707384,81.4500
42,0.0001,0.2,256,13,0.186996,0.717705,81.7000
42,0.0001,0.2,256,14,0.168343,0.854577,80.4000
42,0.0001,0.2,256,15,0.147816,0.817042,81.3000
42,0.0001,0.2,256,16,0.142701,0.940537,80.7500
42,0.0001,0.2,256,17,0.134141,0.894668,81.1000
42,0.0001,0.2,256,18,0.124108,0.820967,82.2000
42,0.0001,0.2,256,19,0.120142,1.012718,80.2000
42,0.0001,0.2,256,20,0.115378,0.917536,81.2000
